aluno_id,nome_aluno,email_aluno,curso,status,turma,sexo,idade,trabalha,renda_familiar,acompanhamento_medico,tem_filho,estado_civil,semestre,bimestre,aula_1,professor_1,notas_1,faltas_1,desempenho_1,aula_2,professor_2,notas_2,faltas_2,desempenho_2,aula_3,professor_3,notas_3,faltas_3,desempenho_3,aula_4,professor_4,notas_4,faltas_4,desempenho_4,aula_5,professor_5,notas_5,faltas_5,desempenho_5,risco_evasao
4048,Ágatha Albuquerque,odas-neves@example.org,Biomedicina,Concluso,C,Feminino,67,0,1894,0,1,Divorciado(a),3,1,Desenvolvimento Humano,Valentina Macedo,4.02,14,Ruim,Avaliação Terapêutica,João Gabriel Santos,0.98,0,Ruim,Técnicas de Reabilitação,Dr. Luiz Henrique da Rocha,3.08,15,Ruim,Psicologia Clínica,Cecília Sampaio,1.85,9,Ruim,Fisioterapia,Bella Almeida,1.84,8,Ruim,1
4049,Maria Luiza Novaes,viniciusmacedo@example.com,Teatro,Concluso,B,Outro,51,1,9950,0,0,Solteiro(a),5,2,Gestão da Informação,Maria Júlia Araújo,9.88,9,Regular,Catalogação,Fernando Novais,6.61,10,Regular,Preservação de Documentos,Raul Costa,0.66,3,Ruim,Gestão de Bibliotecas,Maitê Nunes,2.99,5,Ruim,Leitura e Literatura,Ana Carolina Araújo,1.36,11,Ruim,0
4050,Rodrigo Cassiano,rrios@example.org,Teologia,Trancado,D,Masculino,46,1,966,0,0,Viúvo(a),1,4,Fisiologia,Sr. Davi Lucca Rocha,2.61,11,Ruim,Terapia Física,Dra. Sofia Borges,9.85,6,Regular,Reabilitação,Manuela das Neves,5.38,12,Ruim,Técnicas de Imagem,Sr. Diogo Machado,7.4,13,Ruim,Anatomia,Dra. Lívia Pimenta,6.69,8,Regular,1
4051,Nicole Gomes,tcarvalho@example.org,Engenharia de Alimentos,Concluso,D,Masculino,21,1,1329,1,0,Solteiro(a),8,2,Gramática,Rafaela Cavalcanti,0.62,13,Ruim,Literatura Brasileira,Dr. Rael Martins,7.48,8,Regular,Literatura Portuguesa,Luiz Henrique Machado,0.21,10,Ruim,Linguística,Nina Lima,0.19,13,Ruim,Produção Textual,Srta. Melissa Teixeira,4.42,11,Ruim,1
4052,Samuel Aparecida,sabrinagomes@example.org,Direito,Matriculado,A,Feminino,58,1,9759,1,0,Casado(a),6,3,História da Igreja,Pietra Abreu,4.93,2,Ruim,Teologia Sistemática,Luara Pastor,6.55,2,Regular,Filosofia da Religião,Elisa Farias,8.37,0,Excelente,Exegese Bíblica,Dra. Amanda Cassiano,1.32,0,Ruim,Teologia Moral,Maria Alice Lopes,2.94,10,Ruim,1
4053,Thales Viana,vcavalcanti@example.org,Análise e Desenvolvimento de Sistemas,Matriculado,D,Masculino,NOTEXIST,1,2780,0,0,Separado(a),4,4,Geopolítica,Clara Pimenta,9.48,14,Ruim,Planejamento Urbano,Sr. Josué Cavalcanti,7.45,14,Ruim,Cartografia,Murilo Souza,3.82,14,Ruim,Geografia Humana,Hellena Silva,7.77,5,Bom,Geografia Física,Raul Porto,7.04,9,Regular,0
4054,Arthur Miguel Cunha,eloa82@example.com,Física,Concluso,D,Outro,21,0,7404,0,1,Separado(a),3,3,Marketing da Moda,Henry Moreira,9.03,12,Ruim,Design de Moda,Luiza Farias,9.99,13,Ruim,Gestão de Moda,Vinicius Aragão,5.56,2,Regular,Produção de Moda,Manuela Moreira,4.29,10,Ruim,História da Moda,Sr. Enrico Sousa,9.61,15,Ruim,0
4055,André Rocha,ottogoncalves@example.org,Odontologia,Matriculado,D,Outro,51,1,9741,1,0,Amasiado(a),7,4,Comunicação e Mídia,Júlia Jesus,5.02,1,Regular,Edição de Vídeo,Rodrigo Costa,5.79,7,Regular,Redação Jornalística,Cecília Mendes,2.25,11,Ruim,Ética Jornalística,Sra. Emanuella Pires,2.22,14,Ruim,Produção de Conteúdo,Ana Vitória Moreira,2.55,9,Ruim,1
4056,Theodoro Porto,maria-helena52@example.org,Biomedicina,Matriculado,C,Masculino,68,0,8684,1,0,Divorciado(a),7,3,Genética,Maria Fernanda Cassiano,3.21,4,Ruim,Imunologia,Thomas Vasconcelos,7.55,6,Regular,Farmacologia,João Aragão,0.97,4,Ruim,Microbiologia,Marcos Vinicius Casa Grande,8.92,15,Ruim,Biologia Molecular,Luiz Henrique Duarte,7.75,7,Regular,1
4057,Maria Luísa Fonseca,tpimenta@example.net,Farmácia,Cancelado,A,Feminino,70,1,10000000000,1,0,Solteiro(a),6,2,Estruturas,Bryan Pinto,2.74,6,Ruim,Planejamento Urbano,Helena da Mota,2.09,7,Ruim,História da Arquitetura,Gabrielly Nascimento,3.23,8,Ruim,Desenho Arquitetônico,Helena Alves,5.12,1,Regular,Construção Civil,Jade Leão,1.89,10,Ruim,1
4058,João Lucas da Mota,fcostela@example.com,Enfermagem,Matriculado,B,Feminino,130,0,4533,0,0,,4,3,Prática Instrumental,Heloisa Pacheco,3.24,7,Ruim,Teoria Musical,Sofia Almeida,1.12,10,Ruim,História da Música,Daniela Brito,6.9,2,Regular,Composição Musical,Anna Liz Novaes,4.08,15,Ruim,Arranjo Musical,André Borges,4.79,2,Ruim,0
4059,Isabel Moura,pedro-henrique24@example.com,Publicidade e Propaganda,Concluso,D,Feminino,65,1,10000000000,0,1,Amasiado(a),6,2,Arte Digital,Manuela Brito,0.43,2,Ruim,Fotografia,Olivia Novais,1.82,3,Ruim,Pintura,Liz Camargo,0.5,11,Ruim,Escultura,Emanuel Câmara,3.43,11,Ruim,História da Arte,Lara Mendes,5.42,13,Ruim,1
4060,Maria Luísa da Rocha,luiz-gustavobarros@example.net,Dança,Matriculado,B,EXIT01,31,0,7011,1,1,Solteiro(a),6,2,Prática Instrumental,Olívia Vargas,5.41,14,Ruim,Arranjo Musical,Rebeca Andrade,2.95,2,Ruim,História da Música,Rebeca Nogueira,9.53,11,Ruim,Composição Musical,Théo Alves,0.79,10,Ruim,Teoria Musical,Kamilly Campos,0.91,3,Ruim,1
4061,Alícia Aragão,luaraalbuquerque@example.net,Ciências Sociais,Trancado,B,Masculino,64,0,6289,1,0,Separado(a),6,1,Psicologia do Desenvolvimento,Sr. Mathias Nogueira,1.14,3,Ruim,Reabilitação Fonoaudiológica,Dr. Enzo Aparecida,7.74,4,Bom,Anatomia e Fisiologia,Apollo Moreira,6.96,0,Regular,Fonologia,Vitor Gabriel Novais,2.74,12,Ruim,Audiologia,Sra. Aurora Siqueira,3.69,4,Ruim,1
4062,Helena Moura,vieiravitor-gabriel@example.org,Física,Trancado,B,Masculino,70,0,1100,1,0,Solteiro(a),5,1,Psicologia Clínica,Caio Pinto,8.92,11,Ruim,Avaliação Terapêutica,Gustavo Henrique Castro,8.79,11,Ruim,Desenvolvimento Humano,Kamilly Leão,9.85,8,Regular,Fisioterapia,Brenda Aparecida,4.76,15,Ruim,Técnicas de Reabilitação,Ester da Rocha,7.9,8,Regular,1
4063,Bernardo da Costa,xramos@example.org,Engenharia de Alimentos,Matriculado,A,,66,1,4166,1,1,Casado(a),3,4,Comunicação e Mídia,Isis Ramos,7.44,5,Bom,Ética Jornalística,Valentim Santos,8.99,1,Excelente,Produção de Conteúdo,Luiz Miguel Nunes,3.11,1,Ruim,Redação Jornalística,Raquel da Paz,5.82,8,Regular,Edição de Vídeo,Miguel Pinto,6.67,4,Regular,1
4064,Cecilia Brito,isabella75@example.net,Redes de Computadores,Concluso,D,Outro,65,1,9072,1,0,Separado(a),7,1,Teorias da Personalidade,Dr. Vitor Hugo Nogueira,2.8,11,Ruim,Psicologia Geral,Diego Fernandes,1.64,12,Ruim,Psicopatologia,Thomas Viana,3.02,12,Ruim,Psicologia Social,Rebeca Marques,9.31,5,Bom,Psicologia do Desenvolvimento,Mariane Borges,2.73,14,Ruim,1
4065,Sr. Leonardo Caldeira,enricoda-costa@example.com,Arquitetura e Urbanismo,Concluso,B,Masculino,67,1,4788,1,1,Amasiado(a),3,4,Teologia Moral,Manuela Lopes,6.25,11,Ruim,História da Igreja,Vitor Gabriel Carvalho,7.96,0,Bom,Filosofia da Religião,Beatriz Sousa,9.32,6,Regular,Exegese Bíblica,Emanuelly Martins,9.23,5,Bom,Teologia Sistemática,João Felipe Campos,1.7,3,Ruim,1
4066,Isis da Mata,vmendes@example.org,Direito,Trancado,A,Feminino,47,0,5811,1,0,Divorciado(a),1,1,Preservação de Documentos,Maria Alice Fernandes,5.93,10,Regular,Documentação Digital,Mariana Pires,0.49,4,Ruim,Teoria Arquivística,Srta. Eduarda Freitas,0.69,3,Ruim,Arquivos Públicos,Daniel Almeida,6.14,2,Regular,Gestão de Arquivos,Lorenzo Almeida,7.63,3,Bom,1
4067,Dra. Bella Cassiano,ottocamara@example.net,Turismo,Trancado,B,Outro,57,1,8467,0,0,Casado(a),1,4,Cirurgia Veterinária,Igor Ramos,2.64,15,Ruim,Clínica Veterinária,Eloá Aparecida,3.4,15,Ruim,Microbiologia Veterinária,Srta. Hadassa da Rosa,2.27,12,Ruim,Farmacologia Veterinária,Manuela Lima,2.51,10,Ruim,Anatomia Veterinária,Giovanna Barbosa,2.55,12,Ruim,1
4068,Liam Sousa,luiz-miguelnovais@example.org,Nutrição,Matriculado,D,Masculino,52,0,8724,1,1,Amasiado(a),2,4,Gestão de Bibliotecas,Alana Sales,9.93,8,Regular,Catalogação,Lucca da Cunha,6.43,0,Regular,Leitura e Literatura,Ana Vitória Moreira,0.13,0,Ruim,Preservação de Documentos,Dra. Maria Laura Santos,7.32,12,Ruim,Gestão da Informação,Dr. José Andrade,5.64,8,Regular,1
4069,Henry Vasconcelos,ana-liviapastor@example.org,Nutrição,Trancado,C,Masculino,64,0,19329320423234,1,1,Amasiado(a),3,2,Psicologia do Esporte,Dra. Sarah Novaes,5.46,15,Ruim,Gestão do Esporte,Allana Silva,6.56,5,Regular,Fisiologia do Exercício,Sra. Eloá Vargas,1.17,10,Ruim,Nutrição Esportiva,Vinícius Martins,7.97,14,Ruim,Cinesiologia,Srta. Allana Lopes,9.25,15,Ruim,1
4070,Maria Isis Alves,xcavalcante@example.net,Teologia,Cancelado,C,Outro,28,0,1573,1,1,Amasiado(a),4,3,Comportamento do Consumidor,Sr. Mateus Fonseca,7.79,9,Regular,Publicidade Criativa,Luiz Gustavo Cunha,0.28,11,Ruim,Marketing Digital,Ravy Vasconcelos,1.0,5,Ruim,Relações Públicas,Ravi Lucca Fonseca,1.63,12,Ruim,Comunicação Publicitária,Giovanna Pires,6.16,5,Regular,1
4071,Antonella Gomes,sofiacastro@example.com,Engenharia Civil,Cancelado,A,Feminino,35,0,1805,1,0,Casado(a),6,1,Materiais de Construção,Sarah Campos,9.02,3,Excelente,Topografia,Emanuella Montenegro,1.58,3,Ruim,Mecânica dos Solos,Sr. Valentim da Mata,0.16,8,Ruim,Construção Civil,Gael Henrique Pires,7.21,5,Bom,Cálculo Estrutural,Lucas das Neves,8.83,6,Regular,1
4072,Luiz Miguel Fernandes,osa@example.net,Engenharia Elétrica,Cancelado,C,Outro,numero,0,6175,0,0,Divorciado(a),1,3,Gestão de Projetos,Ana Luiza Barbosa,0.52,15,Ruim,Finanças Públicas,Maria Eduarda Cavalcanti,4.94,7,Ruim,Gestão de Pessoas,Julia Campos,4.0,0,Ruim,Gestão de Políticas Públicas,Catarina Sales,5.87,2,Regular,Administração Pública,Dr. Luiz Henrique Albuquerque,6.41,1,Regular,0
4073,Luiz Gustavo Correia,calebe72@example.com,Engenharia Civil,Cancelado,C,Outro,18,0,-1000,0,0,Solteiro(a),8,2,Desenvolvimento de Software,Júlia Correia,1.56,15,Ruim,Sistemas de Informação Empresarial,Sra. Maria Helena Monteiro,6.23,7,Regular,Gestão de Projetos de TI,Ana Clara Nascimento,2.85,10,Ruim,Banco de Dados,Nina da Cunha,0.39,3,Ruim,Análise de Sistemas,Ana Clara Sá,7.61,12,Ruim,0
4074,Stephany Pacheco,oliveiramaria-isis@example.com,Engenharia Química,Matriculado,B,Feminino,44,0,2866,0,1,ERROR,2,1,Nutrição e Dietética,Lara Correia,4.27,4,Ruim,Cultura Gastronômica,Alice Nunes,6.23,5,Regular,Técnicas Culinárias,Srta. Maria Vitória Almeida,9.97,9,Regular,Gestão de Restaurante,Ana Liz Vasconcelos,3.55,12,Ruim,Culinária Internacional,Eduardo Borges,8.67,14,Ruim,1
4075,Pedro Lucas Machado,eloamendonca@example.net,Jornalismo,Concluso,C,Feminino,53,0,3130,0,0,Separado(a),8,2,Desenvolvimento de Software,Júlia Correia,1.07,0,Ruim,Sistemas de Informação Empresarial,Sra. Maria Helena Monteiro,9.62,14,Ruim,Gestão de Projetos de TI,Ana Clara Nascimento,3.72,9,Ruim,Banco de Dados,Nina da Cunha,2.46,7,Ruim,Análise de Sistemas,Ana Clara Sá,8.54,9,Regular,0
4076,Guilherme Garcia,ana-beatriznogueira@example.com,Redes de Computadores,Trancado,B,Outro,62,1,7850,0,1,,2,3,Ecologia,Leonardo Cirino,1.59,11,Ruim,Tecnologias Ambientais,Letícia Silva,6.4,3,Regular,Sistemas de Gestão Ambiental,Josué Fogaça,9.84,5,Bom,Política Ambiental,Dr. Paulo Novaes,3.66,1,Ruim,Gestão Ambiental,Ravi Cavalcante,0.99,4,Ruim,1
4077,Sr. Isaac Marques,brenda45@example.net,Sistemas de Informação,Trancado,A,Masculino,26,1,INVALID,0,0,Casado(a),3,1,Produção Animal,Augusto Porto,1.74,15,Ruim,Nutrição Animal,Dr. Bryan Alves,5.6,13,Ruim,Medicina Veterinária,Dom da Costa,7.14,6,Regular,Fisiologia Animal,Gabriel Cavalcanti,5.77,3,Regular,Genética Animal,Igor da Cunha,0.34,2,Ruim,0
4078,Melissa Cirino,santosmaysa@example.net,Arquivologia,Concluso,B,Outro,45,1,9339,0,1,Amasiado(a),7,4,Gestão Ambiental,Luiz Miguel Duarte,9.29,4,Bom,Tecnologias Ambientais,Nicole Ferreira,2.99,12,Ruim,Ecologia,Catarina Cavalcante,0.08,0,Ruim,Política Ambiental,Dr. Mathias Siqueira,6.82,15,Ruim,Sistemas de Gestão Ambiental,Emilly Correia,2.87,8,Ruim,1
4079,Vitor Hugo Duarte,casa-grandeisis@example.com,Terapia Ocupacional,Concluso,B,Feminino,60,0,1215,1,0,Divorciado(a),1,1,Sistemas Operacionais,Mariah Vasconcelos,3.02,4,Ruim,Programação,Emanuella Ribeiro,0.65,14,Ruim,Banco de Dados,Liz Viana,1.68,9,Ruim,Segurança da Informação,Manuella Gomes,2.82,2,Ruim,Engenharia de Software,Cauê Viana,5.39,0,Regular,1
4080,Pedro Araújo,maria-flor95@example.net,Jornalismo,Cancelado,C,Feminino,70,0,1427,0,1,Divorciado(a),4,1,Segurança da Informação,Joaquim Carvalho,1.3,9,Ruim,Programação,Diogo da Cruz,8.37,4,Bom,Banco de Dados,Sr. Cauã Albuquerque,9.51,2,Excelente,Sistemas Operacionais,João Ferreira,8.73,13,Ruim,Engenharia de Software,Cauê Fonseca,4.9,15,Ruim,1
4081,Kamilly Camargo,uvieira@example.org,Jornalismo,Trancado,D,Feminino,65,1,6260,0,0,Solteiro(a),4,1,Gestão de Turismo,Theo Alves,7.38,10,Regular,Marketing Turístico,Gustavo da Rosa,4.36,7,Ruim,Turismo Cultural,Valentina Duarte,0.11,2,Ruim,História do Turismo,Sophia Duarte,7.9,14,Ruim,Planejamento de Turismo,João Pedro Pires,2.97,0,Ruim,0
4082,Enzo Pastor,sabrinaramos@example.com,Nutrição,Cancelado,D,Masculino,38,0,4894,0,1,,5,4,Anatomia Dental,Henry Peixoto,6.23,9,Regular,Implantes,Sr. Oliver Marques,6.45,0,Regular,Periodontia,Mathias Peixoto,9.39,0,Excelente,Radiologia Odontológica,Josué Fogaça,7.06,13,Ruim,Clínica Odontológica,Ana Vitória Castro,4.9,5,Ruim,1
4083,Dra. Liz Moreira,rezendeeloah@example.com,Design Gráfico,Concluso,A,Feminino,50,1,5093,1,0,Separado(a),4,1,Eletrônica,Dr. Antônio Casa Grande,2.64,9,Ruim,Sistemas Elétricos,Ana Lívia Aparecida,0.44,7,Ruim,Circuitos Elétricos,Júlia da Cunha,4.13,10,Ruim,Transformadores,Enrico Sousa,8.68,12,Ruim,Máquinas Elétricas,Joaquim Correia,8.31,9,Regular,1
4084,Maria Eduarda Andrade,isis88@example.net,Ciência da Computação,Cancelado,C,Outro,66,0,2313,1,0,Solteiro(a),2,4,Microbiologia,Yuri Sampaio,1.44,9,Ruim,Biologia Molecular,Henry Gabriel Almeida,6.58,14,Ruim,Genética,Sr. João Miguel Pinto,9.57,5,Bom,Farmacologia,Lucca da Cunha,4.52,14,Ruim,Imunologia,Lívia da Cunha,5.18,13,Ruim,0
4085,Maitê Martins,barbosabrayan@example.org,Dança,Matriculado,C,Masculino,29,1,7059,1,0,Solteiro(a),2,1,Psicologia Clínica,Dr. Gustavo Garcia,4.92,3,Ruim,Avaliação Terapêutica,Pietra Cardoso,10.0,4,Bom,Fisioterapia,Sophia Sousa,0.29,0,Ruim,Técnicas de Reabilitação,Luiz Fernando Camargo,2.88,15,Ruim,Desenvolvimento Humano,Isabella Sá,8.77,15,Ruim,0
4086,Juliana Vasconcelos,maria-cecilia40@example.com,Arquitetura e Urbanismo,Trancado,A,Masculino,33,0,8128,0,1,Casado(a),7,1,Probabilidade e Estatística,Lívia Ramos,0.28,0,Ruim,Cálculo,Thales Pimenta,4.23,10,Ruim,Teoria dos Números,Dr. Bernardo Vieira,4.29,3,Ruim,Álgebra Linear,Dr. Renan Melo,8.4,3,Excelente,Geometria,Gabriel Viana,6.24,1,Regular,1
4087,Júlia Duarte,maria-luisa83@example.net,alguns,Concluso,A,Masculino,19,0,3015,0,1,Separado(a),3,2,Farmacologia,Diego Farias,4.01,5,Ruim,Cosmetologia,Luiz Henrique Melo,2.97,13,Ruim,Química Farmacêutica,Cauê Cavalcanti,3.69,14,Ruim,Microbiologia,Elisa da Rocha,8.72,0,Excelente,Análises Clínicas,Sra. Evelyn Monteiro,4.49,2,Ruim,0
4088,Ana Liz Vargas,laviniaguerra@example.net,Ciências Sociais,Matriculado,D,Masculino,39,1,4960,0,0,Casado(a),5,4,Anatomia Dental,Henry Peixoto,3.85,4,Ruim,Implantes,Sr. Oliver Marques,5.79,14,Ruim,Periodontia,Mathias Peixoto,7.43,14,Ruim,Radiologia Odontológica,Josué Fogaça,5.94,10,Regular,Clínica Odontológica,Ana Vitória Castro,7.21,14,Ruim,1
4089,Ana Clara Siqueira,larissacassiano@example.org,Estatística,Cancelado,B,Feminino,65,1,6437,1,1,Viúvo(a),3,1,Processo Civil,Brenda Pinto,8.6,1,Excelente,Processo Penal,Ana Vitória Cassiano,5.02,14,Ruim,Direito Penal,Maria Clara Moreira,4.06,2,Ruim,Direito Civil,Lunna Brito,2.97,11,Ruim,Constitucional,Dra. Emanuelly Ribeiro,0.69,10,Ruim,1
4090,Rafael Rocha,lsampaio@example.net,$$$$$$$,Matriculado,B,Feminino,27,1,7022,1,0,Solteiro(a),1,1,Sistemas Operacionais,Mariah Vasconcelos,4.17,0,Ruim,Programação,Emanuella Ribeiro,6.53,1,Regular,Banco de Dados,Liz Viana,9.81,13,Ruim,Segurança da Informação,Manuella Gomes,4.78,7,Ruim,Engenharia de Software,Cauê Viana,6.56,3,Regular,0
4091,Sra. Juliana Rodrigues,alexandrefarias@example.com,Artes Visuais,Matriculado,C,Outro,18,1,2260,0,0,Amasiado(a),4,2,Modelagem de Dados,Pedro Camargo,8.58,0,Excelente,Administração de Banco de Dados,Diego Farias,3.15,1,Ruim,Sistemas de Informação,Emilly Duarte,2.67,1,Ruim,SQL Avançado,Mathias Sousa,1.97,4,Ruim,Segurança de Banco de Dados,Bruna Ramos,1.8,4,Ruim,0
4092,Sr. Dom Aparecida,ana-carolina54@example.net,Psicologia,Concluso,A,Outro,62,0,6370,0,1,Amasiado(a),7,3,Auditoria,Heitor Lopes,5.7,4,Regular,Contabilidade de Custos,Ana Sophia Cassiano,4.0,9,Ruim,Contabilidade Geral,José Moreira,1.03,10,Ruim,Análise Financeira,Raul da Paz,6.88,12,Ruim,Contabilidade Tributária,José Miguel Sousa,1.65,4,Ruim,1
4093,Maria Vitória Porto,brayan56@example.org,Música,Cancelado,B,Masculino,17,0,5726,1,1,,8,1,Microeconomia,Carlos Eduardo Casa Grande,6.65,12,Ruim,Macroeconomia,Eduardo Fonseca,9.34,3,Excelente,Política Econômica,Dr. Fernando Farias,4.77,11,Ruim,Teoria Econômica,Isabela Pereira,0.96,2,Ruim,Economia Internacional,Srta. Isabella Campos,9.03,13,Ruim,1
4094,Anthony Porto,mendoncacamila@example.net,Secretariado Executivo,Trancado,B,Outro,46,1,9913,1,0,Divorciado(a),6,4,Comportamento do Consumidor,Bento Macedo,5.71,11,Ruim,Comunicação Publicitária,Srta. Natália Garcia,9.17,1,Excelente,Marketing Digital,Maya Rodrigues,2.86,14,Ruim,Relações Públicas,Dra. Lívia Pimenta,5.09,4,Regular,Publicidade Criativa,Enzo Gabriel Rocha,9.72,2,Excelente,1
4095,Bryan Silveira,salesbreno@example.org,Química,Matriculado,B,Masculino,,1,3039,0,0,Divorciado(a),6,3,Produção Animal,Sr. Benicio Novais,8.1,9,Regular,Fisiologia Animal,Mirella Carvalho,1.78,2,Ruim,Medicina Veterinária,Matheus Alves,3.89,0,Ruim,Nutrição Animal,Sr. Diogo Casa Grande,8.83,1,Excelente,Genética Animal,Bruna Martins,2.45,6,Ruim,0
4096,Fernanda Novaes,smacedo@example.org,Nutrição,Trancado,D,Masculino,47,0,9961,1,1,Solteiro(a),4,4,Geopolítica,Clara Pimenta,4.24,15,Ruim,Planejamento Urbano,Sr. Josué Cavalcanti,0.43,4,Ruim,Cartografia,Murilo Souza,4.75,1,Ruim,Geografia Humana,Hellena Silva,4.12,5,Ruim,Geografia Física,Raul Porto,9.22,15,Ruim,1
4097,Gustavo Vieira,guilhermepereira@example.net,Psicologia,Concluso,D,Feminino,42,1,9326,0,1,Viúvo(a),1,4,Fisiologia,Sr. Davi Lucca Rocha,2.85,15,Ruim,Terapia Física,Dra. Sofia Borges,2.19,10,Ruim,Reabilitação,Manuela das Neves,3.5,5,Ruim,Técnicas de Imagem,Sr. Diogo Machado,3.54,13,Ruim,Anatomia,Dra. Lívia Pimenta,7.02,4,Bom,1
4098,Benício Sampaio,mariane88@example.net,Ciências Contábeis,Cancelado,A,Outro,6676,0,5388,0,0,Separado(a),5,2,Gestão Social,Noah Ribeiro,2.65,2,Ruim,Direitos Humanos,Alice Costela,1.9,10,Ruim,Cultura e Sociedade,Levi Lopes,5.45,12,Ruim,Política Social,Eloá Câmara,4.28,11,Ruim,Ética no Serviço Social,Isaque Ribeiro,5.34,13,Ruim,0
4099,Brayan Guerra,liamgarcia@example.com,Zootecnia,Concluso,D,Feminino,21,0,8159,1,1,Casado(a),5,3,Arquivos Públicos,Heloísa Leão,4.18,10,Ruim,Teoria Arquivística,Sr. Igor Barros,6.85,3,Regular,Documentação Digital,Fernanda Brito,9.42,5,Bom,Gestão de Arquivos,Dr. João Gabriel Lima,8.53,8,Regular,Preservação de Documentos,Manuela Caldeira,5.18,9,Regular,1
4100,Yuri Dias,ian95@example.org,Dança,Matriculado,A,Feminino,6676,1,9463,0,1,Amasiado(a),4,3,Teoria do Design,Pietro Pinto,8.93,9,Regular,Tipografia,Olívia Vargas,6.14,13,Ruim,Design Editorial,Thomas da Mata,1.3,15,Ruim,Design Digital,Francisco Vasconcelos,0.09,15,Ruim,Design de Interfaces,Sofia Rezende,9.42,6,Regular,1
4101,Julia Pimenta,pda-paz@example.net,Música,Concluso,D,Masculino,43,0,0,0,0,Divorciado(a),4,1,Gestão de Turismo,Theo Alves,6.62,14,Ruim,Marketing Turístico,Gustavo da Rosa,4.47,15,Ruim,Turismo Cultural,Valentina Duarte,0.34,10,Ruim,História do Turismo,Sophia Duarte,4.68,3,Ruim,Planejamento de Turismo,João Pedro Pires,5.33,9,Regular,0
4102,Vitor Marques,gabrielmoraes@example.com,Fonoaudiologia,Cancelado,C,Feminino,59,0,6319,1,0,Viúvo(a),1,3,Gestão de Projetos,Ana Luiza Barbosa,4.49,5,Ruim,Finanças Públicas,Maria Eduarda Cavalcanti,3.74,10,Ruim,Gestão de Pessoas,Julia Campos,6.1,6,Regular,Gestão de Políticas Públicas,Catarina Sales,4.66,9,Ruim,Administração Pública,Dr. Luiz Henrique Albuquerque,9.12,8,Regular,1
4103,Isabela Guerra,marinacardoso@example.org,alguns,Matriculado,C,Feminino,46,1,8207,1,1,Casado(a),2,3,Leitura e Literatura,Fernando Macedo,9.86,10,Regular,Gestão da Informação,Heloisa Lima,0.02,3,Ruim,Preservação de Documentos,Milena Sampaio,9.2,1,Excelente,Gestão de Bibliotecas,Sr. Benício Nogueira,4.41,15,Ruim,Catalogação,Lucas Gabriel da Mata,4.62,8,Ruim,1
4104,Sra. Maria Fernanda Aragão,vasconcelosjoana@example.net,Fonoaudiologia,Trancado,B,Feminino,49,1,3405,1,1,Viúvo(a),5,3,Desenho Arquitetônico,João Miguel Cavalcanti,3.15,8,Ruim,História da Arquitetura,Olívia Souza,1.71,0,Ruim,Construção Civil,Ana Lívia Moura,5.4,5,Regular,Planejamento Urbano,Henrique Araújo,2.8,13,Ruim,Estruturas,Caio Freitas,6.21,3,Regular,1
4105,Théo Azevedo,leaomarcos-vinicius@example.com,Administração,Concluso,A,Feminino,26,1,9808,0,1,Casado(a),8,1,Literatura Portuguesa,Allana Souza,3.71,10,Ruim,Linguística,Rebeca das Neves,9.13,0,Excelente,Gramática,Bruno Caldeira,6.25,4,Regular,Produção Textual,José Rezende,7.33,15,Ruim,Literatura Brasileira,Srta. Giovanna Novaes,7.9,6,Regular,1
4106,Marcos Vinicius Guerra,thales41@example.org,Jornalismo,Matriculado,B,Masculino,6676,1,3556,0,1,Amasiado(a),4,4,Banco de Dados,Ana Clara Ferreira,7.64,4,Bom,Segurança da Informação,Sr. Theo Borges,6.75,1,Regular,Sistemas Operacionais,Antônio Moura,9.71,12,Ruim,Engenharia de Software,Francisco Gonçalves,7.66,1,Bom,Programação,Dr. Antony Silva,4.23,15,Ruim,1
4107,Isis Freitas,thiago41@example.net,Teologia,Cancelado,C,Feminino,23,1,9031,0,0,Solteiro(a),6,2,Gestão de Estoques,Dra. Esther Campos,9.33,15,Ruim,Gestão de Cadeia de Suprimentos,Maria Vitória Macedo,0.82,4,Ruim,Logística Internacional,Ana Cecília da Luz,2.25,8,Ruim,Transporte e Distribuição,Rebeca Santos,4.54,7,Ruim,Gestão de Transportes,Thomas da Costa,2.42,14,Ruim,0
4108,Vinicius da Cruz,carolina42@example.net,Engenharia de Alimentos,Trancado,B,Outro,28,1,7846,0,0,Amasiado(a),5,1,Psicologia Clínica,Caio Pinto,5.01,6,Regular,Avaliação Terapêutica,Gustavo Henrique Castro,5.49,15,Ruim,Desenvolvimento Humano,Kamilly Leão,2.05,14,Ruim,Fisioterapia,Brenda Aparecida,2.46,9,Ruim,Técnicas de Reabilitação,Ester da Rocha,5.48,12,Ruim,0
4109,Davi Lucas Ferreira,nicolas69@example.org,Ciências Econômicas,Concluso,D,Outro,40,1,7975,1,1,Viúvo(a),4,1,Gestão de Turismo,Theo Alves,7.57,14,Ruim,Marketing Turístico,Gustavo da Rosa,4.13,2,Ruim,Turismo Cultural,Valentina Duarte,1.05,7,Ruim,História do Turismo,Sophia Duarte,5.5,7,Regular,Planejamento de Turismo,João Pedro Pires,9.74,1,Excelente,1
